stop_id,stop_name,stop_lat,stop_lon
05036,Rondo Maczka,53.137693843,17.964518052
05037,Rondo Maczka,53.136776784,17.962300183
05038,Grunwaldzka - Kanałowa,53.130070112,17.977954934
05039,Grunwaldzka - Kanałowa,53.129453226,17.979052971
05040,Grunwaldzka - Kraszewskiego,53.13347936,17.969189425
05041,Grunwaldzka - Kraszewskiego,53.133031146,17.969926835
05042,Grunwaldzka - Flisacka,53.137266252,17.957627571
05043,Grunwaldzka - Flisacka,53.136799617,17.958638483
05044,Grunwaldzka - Filtrowa,53.139856681,17.948117618
05045,Grunwaldzka - Filtrowa,53.139228766,17.949613608
05048,Grunwaldzka - Przejście nż,53.14539014,17.928134241
05049,Grunwaldzka - Przejście nż,53.144823516,17.929326533
05050,Grunwaldzka - Kolbego,53.147493509,17.919897667
05051,Kolbego - Grunwaldzka,53.148225503,17.919841808
05052,Kolbego - Kogucia,53.154778,17.917028
05053,Kolbego - Kogucia,53.154919,17.916834
05054,Kolbego - Wielorybia,53.158585,17.912306
05055,Kolbego - Wielorybia,53.157833,17.913445
05056,Rekinowa,53.159935499,17.908777884
05059,Srebrna - Stalowa,53.142582,17.906445
05060,Srebrna - Stalowa,53.142361,17.907473
05061,Srebrna - Spiżowa,53.143696,17.903168
05062,Srebrna - Spiżowa,53.143749,17.900612
05063,Spiżowa - Ołowiana,53.147305,17.905306
05064,Niklowa,53.146942,17.899889
05065,Flisacka - Grunwaldzka,53.136665,17.957193
05066,Dworzec Zachód,53.136055,17.946417
05067,Dworzec Zachód,53.136014335,17.946495742
05068,Mińska - Studzienna,53.13636,17.939472
05069,Mińska - Studzienna,53.136306239,17.939432068
05070,Mińska - Plonowa,53.13736,17.932833
05071,Mińska - Plonowa,53.137202047,17.933802553
05072,Kruszyńska - Krańcowa,53.14166627,17.924792615
05073,Kruszyńska - Krańcowa,53.141587744,17.925453203
05074,Kruszyńska - Sowia,53.142897731,17.919399396
05075,Kruszyńska - Sowia,53.142676383,17.919778449
05077,Opławiec - Internat,53.194942,17.966862
05078,Rondo Maczka,53.137948486,17.963768851
05080,Grunwaldzka-Kolbego,53.148062662,17.918750912
05082,Grunwaldzka - Chojnicka,53.139045887,17.951156379
05083,Opławiec - Soboczyńskiego,53.181999,17.957001
05084,Opławiec - Soboczyńskiego,53.181,17.957001
05085,Kolbego - Dzięciołowa,53.152155961,17.918186045
05086,Kolbego - Dzięciołowa,53.151372592,17.918428697
05087,Smukalska - Sanktuarium nż,53.1785,17.9683
05088,Smukalska - Sanktuarium nż,53.1777,17.9682
05089,Smukalska - Agrestowa,53.1837,17.9673
05090,Smukalska - Agrestowa,53.1847,17.9675
05091,Smukalska - Baranowskiego nż,53.1875,17.9686
05092,Smukalska - Baranowskiego nż,53.1877,17.9686
05093,Rondo Maczka,53.136257376,17.964624613
05094,Rondo Maczka,53.13694572,17.965923328
05095,Grunwaldzka - Czarna Droga,53.130988872,17.975168406
05096,Grunwaldzka - Czarna Droga,53.131831006,17.973462296
05097,Bronikowskiego - Śluzowa,53.134147113,17.956711254
05098,Bronikowskiego - Śluzowa,53.134444283,17.960175182
05102,Chmurna - Nad Torem,53.150817533,17.960743362
05103,Siedlecka - Chmielna,53.153339459,17.960488068
05104,Siedlecka - Chmielna,53.152980223,17.960617914
05105,Siedlecka - Łubinowa,53.157398247,17.958111251
05106,Siedlecka - Łubinowa,53.157964175,17.958440697
05107,Siedlecka - Wodociągi,53.160601925,17.956549713
05108,Siedlecka - Wodociągi,53.16028451,17.95704013
05112,Opławiec - Wycieczkowa,53.189332,17.963026
05113,Opławiec - Wycieczkowa,53.189014,17.96263
06001,Rondo Grunwaldzkie,53.125907149,17.984520949
06002,Rondo Grunwaldzkie,53.1245,17.985916
06003,Rondo Grunwaldzkie,53.125533632,17.988095021
06004,Rondo Grunwaldzkie,53.126737299,17.986038315
06005,Rondo Grunwaldzkie,53.125770092,17.987459824
06006,Rondo Grunwaldzkie,53.12575548,17.987699101
06007,Nakielska - Wrocławska,53.126167,17.981112
06008,Nakielska - Wrocławska,53.126083,17.981722
06009,Nakielska - Stawowa,53.126398293,17.975956878
06010,Nakielska - Stawowa,53.126261156,17.976144485
06011,Nakielska - Wrzesińska,53.127415644,17.969066327
06012,Nakielska - Wrzesińska,53.127292702,17.969381933
06013,Nakielska - Wrzesińska,53.127060717,17.970614894
06014,Nakielska - Wrzesińska,53.12720507,17.969401207
06015,Nakielska - Słoneczna,53.128406968,17.963317814
06016,Nakielska - Słoneczna,53.128339667,17.963397223
06018,Wilczak,53.129416539,17.957258626
06019,Nakielska - Widok,53.13119025,17.947348706
06020,Nakielska - Widok,53.130837103,17.948673747
06021,Nakielska - Pijarów,53.132083893,17.940512089
06022,Nakielska - Pijarów,53.131978518,17.941339144
06023,Nakielska - Wiśniowa,53.13232274,17.934294051
06024,Nakielska - Wiśniowa,53.132207999,17.935249707
06025,Nakielska - Żywiecka,53.132960092,17.924674937
06026,Nakielska - Żywiecka,53.132726584,17.92645549
06027,Nakielska - Iglasta,53.133292491,17.920698841
06028,Nakielska - Tarnowska,53.133826515,17.917317601
06029,Nakielska - Tarnowska,53.133925005,17.915867066
06030,Nakielska - Notecka,53.134627161,17.911149261
06031,Nakielska - Notecka,53.13462,17.910538
06032,Nakielska - Lisia,53.133762973,17.905237834
06033,Nakielska - Lisia,53.134606138,17.907664076
06034,Łochowska,53.130333,17.899166
06035,Łochowska,53.130638,17.899
06036,Belma,53.125252,17.898556
06040,Wilczak,53.129573116,17.956421816
06041,Wilczak,53.129354232,17.957271803
07001,Dworzec Wschód,53.126592891,18.085414086
07002,Dworzec Wschód,53.126771388,18.082925151
07003,Przemysłowa - Portowa,53.126221,18.096472
07004,Przemysłowa - Portowa,53.126499,18.094917
07005,Przemysłowa - Os. Rzemieślnicze,53.125362,18.102333
07006,Przemysłowa - Tartak,53.12339,18.110332
07007,Przemysłowa - Tartak,53.124001,18.109138
07008,Przemysłowa,53.119900533,18.114153248
07009,Fordońska - Kapliczna,53.129191125,18.0978777
07010,Fordońska - Kapliczna,53.129161098,18.09668428
07011,Fordońska - Sochaczewska,53.130398085,18.103434923
07012,Fordońska - Sochaczewska,53.130230552,18.101626389
07013,Fordońska - Wiślana,53.132313889,18.112255556
07014,Fordońska - Wiślana,53.132452778,18.111802778
07015,Fordońska - Łowicka,53.134887699,18.121995678
07018,Łowicka - Szkoła,53.130611,18.125334
07019,Łowicka - Szkoła,53.131138,18.124971
07020,Tor Regatowy,53.128113,18.128195
07021,Tor Regatowy,53.128029,18.129278
07022,Witebska - Wschodnia,53.129333,18.132221
07023,Witebska - Wschodnia,53.129710836,18.132918596
07025,Fordońska - Traktorzystów,53.136324811,18.127243611
07026,Fordońska - Traktorzystów,53.136528,18.127056
07027,Dworzec - Politechnika,53.139279201,18.138060679
07028,Dworzec - Politechnika,53.13895547,18.136062666
07029,Fordońska - Wyszogrodzka,53.142064014,18.148314121
07030,Fordońska - Wyszogrodzka,53.142195377,18.148015397
07031,Dworzec Fordon,53.144028,18.155472
07032,Dworzec Fordon,53.145416,18.159889
07033,Dworzec Fordon,53.144749,18.157389
07034,Dworzec Fordon,53.145332,18.15675
07035,Fordońska - Wiadukt,53.14699834,18.166103909
07036,Fordońska - Wiadukt,53.146801954,18.164787166
07037,Fordon - Rynek,53.149823678,18.173128537
07038,Fordon - Rynek,53.149361,18.173361
07039,Wyzwolenia - Styki,53.15257212,18.170917124
07040,Wyzwolenia - Styki,53.152675587,18.171229469
07042,Przemysłowa - Os. Rzemieślnicze,53.125668,18.1005
07044,Brdyujście,53.132416,18.137362
07045,Wyszogrodzka - Opalowa,53.135418,18.141666
07046,Wyszogrodzka - Opalowa,53.135113,18.141222
07047,Brdyujście,53.132362,18.137167
07048,Skandynawska - Ikea,53.131334875,18.118962543
07049,Więcka - Łowicka,53.131762422,18.123275857
07051,Dworzec Wschód,53.127377328,18.080724554
07052,Dworzec Wschód,53.126425,18.086802778
07054,Skandynawska - Ikea,53.132164159,18.118666599
07055,Fordońska - Łowicka,53.135288304,18.122596117
07056,Więcka - Łowicka,53.131627585,18.12240008
07057,Dworzec Wschód,53.127841938,18.082687761
07058,Dworzec Wschód,53.127861111,18.082641667
07059,Dworzec Wschód,53.127222169,18.083504423
07060,Tor Regatowy,53.127637263,18.128040738
07061,Witebska - Gazbud,53.121138571,18.120120845
07062,Witebska - Gazbud,53.121039175,18.120149542
07063,Przemysłowa - Przejazd,53.121154757,18.11495054
07064,Przemysłowa - Przejazd,53.121090292,18.114883004
07065,Rondo Buxakowskiego,53.148210526,18.167584315
07066,Rondo Buxakowskiego,53.148186048,18.167429465
08001,Wyzwolenia - Swobodna,53.157307,18.167389
08002,Wyzwolenia - Swobodna,53.156212145,18.167830175
08005,Niepodległości,53.160158608,18.166332801
08006,Niepodległości,53.159421327,18.165035981
08007,Wyzwolenia - Derdowskiego,53.166010945,18.164433952
08008,Wyzwolenia - Derdowskiego,53.166589486,18.164039463
08010,Geodetów - Pienińska,53.173714459,18.169470114
08011,Wyzwolenia - Komisariat,53.171808778,18.163975547
08012,Wyzwolenia - Komisariat,53.171685412,18.163871099
08013,Tatrzańskie,53.169777,18.162916
08014,Tatrzańskie,53.169467544,18.163290803
08015,Tatrzańskie,53.169479927,18.163483558
08016,Bora Komorowskiego - Braci Bażańskich,53.1700849,18.175018655
08017,Bora Komorowskiego - Braci Bażańskich,53.16924504,18.175007061
08018,Bora Komorowskiego - Gieryna,53.166721,18.175083
08019,Bora Komorowskiego - Gieryna,53.166584,18.174889
08020,Bora Komorowskiego - Kiedrowskiego,53.163669672,18.174947663
08021,Bora Komorowskiego - Kiedrowskiego,53.162777,18.174807
08022,Piłsudskiego - Swobodna,53.15878384,18.172496851
08023,Piłsudskiego - Swobodna,53.158878034,18.172554374
08025,Nad Wisłą,53.157944,18.178362
08026,Pelplińska - Jarużyńska,53.164963265,18.162145985
08027,Pelplińska - Jarużyńska,53.166199567,18.161540211
08028,Pelplińska - Taterników,53.16097661,18.161001817
08029,Pelplińska - Taterników,53.160191821,18.159857183
08030,Twardzickiego - Powalisza,53.157526232,18.150923111
08031,Twardzickiego - Powalisza,53.157597814,18.150817108
08032,Twardzickiego - Witosa,53.154524225,18.147748516
08033,Twardzickiego - Witosa,53.154446,18.147556
08034,Twardzickiego - Thommee,53.152997808,18.140844758
08035,Twardzickiego - Thommee,53.153091074,18.140770845
08036,Twardzickiego - Kleina,53.152488823,18.130658429
08037,Twardzickiego - Kleina,53.152661067,18.128700951
08038,Twardzickiego - Łochowskiego,53.152159183,18.123141085
08039,Twardzickiego - Łochowskiego,53.152612373,18.124759972
08040,Korfantego - Prejsa,53.149251949,18.122127243
08041,Korfantego - Prejsa,53.148596325,18.122248195
08042,Akademicka - Romanowskiej,53.144610979,18.118532063
08043,Akademicka - Romanowskiej,53.144434919,18.116675013
08044,Centrum Onkologii,53.147498247,18.112374049
08045,Centrum Onkologii,53.14762343,18.113123035
08047,Rejewskiego - Akademicka,53.141657846,18.110252491
08048,Matki Teresy z Kalkuty - Akademicka,53.143071666,18.109798847
08049,Rejewskiego - Auchan,53.13912695,18.114818052
08050,Rejewskiego - Auchan,53.13851381,18.115334192
08052,Andersa - Kasztelańska,53.154555206,18.161551936
08053,Andersa - Kasztelańska,53.15373937,18.160428624
08054,Bajka,53.151620233,18.153774759
08055,Bajka,53.151692814,18.152739846
08056,Andersa - Kleeberga,53.150864171,18.146050876
08057,Andersa - Kleeberga,53.150278514,18.144487217
08058,Akademicka - Igrzyskowa,53.148752066,18.138003697
08059,Akademicka - Igrzyskowa,53.148998722,18.136438951
08060,Akademicka - Kaliskiego,53.14783359,18.13045603
08062,Kaliskiego - Politechnika,53.142538159,18.133826875
08063,Kaliskiego - Politechnika,53.14436,18.132029
08065,Brzechwy - Szafirowa,53.150391,18.154722
08066,Brzechwy - Szelburg Zarembiny,53.148305473,18.156151723
08067,Brzechwy - Szelburg Zarembiny,53.148167,18.155945
08068,Wyzwolenia - Swobodna,53.159138,18.166611
08069,Niepodległości,53.159112337,18.166472294
08070,Tatrzańskie,53.169480084,18.163674101
08071,Skarżyńskiego - Twardzickiego,53.156502,18.154917
08072,Skarżyńskiego - Twardzickiego,53.156807,18.154861
08073,Bajka,53.152656229,18.154246519
08074,Skarżyńskiego - Kwiatkowskiego,53.154652273,18.156008119
08075,Łoskoń,53.172905891,18.174740564
08076,Łoskoń,53.172902603,18.174597574
08077,Pod Skarpą - Frydrychowicza,53.15535,18.113951
08078,Pod Skarpą - Frydrychowicza,53.155167,18.114367
08079,Pod Skarpą - Stamma,53.157452,18.103416
08080,Pod Skarpą - Stamma,53.157398,18.103518
08083,Akademicka - Kaliskiego,53.147629413,18.128432067
08084,Kaliskiego  - Akademicka,53.14712893,18.129787367
08085,Akademicka - Rejewskiego,53.142221585,18.109337545
08086,Akademicka - Rejewskiego,53.14225446,18.109303954
08087,Akademicka - Rejewskiego,53.142317637,18.108906858
08088,Akademicka - Romanowskiej,53.144371573,18.117122204
08089,Akademicka - Romanowskiej,53.144411152,18.117090805
08090,Przylesie,53.146237619,18.124087384
08091,Przylesie,53.14591279,18.122759981
08092,Przylesie,53.146167707,18.124529405
08093,Przylesie,53.145953038,18.12232862
08094,Przylesie,53.146930395,18.123095296
08095,Akademicka - Kaliskiego,53.147919546,18.130186853
08096,Akademicka - Kaliskiego,53.14756114,18.128768969
08097,Akademicka - Igrzyskowa,53.148651,18.137882
08098,Akademicka - Igrzyskowa,53.148692854,18.137894358
08099,Andersa - Kleeberga,53.150920631,18.145687784
08100,Andersa - Kleeberga,53.150955396,18.145658179
08101,Kleeberga - Andersa,53.151001263,18.144952155
08102,Bajka,53.151788341,18.153588828
08103,Bajka,53.151834348,18.15358493
08104,Bajka,53.151308669,18.154502839
08105,Kasztelańska - Andersa,53.153794381,18.161745096
08106,Andersa - Wolna,53.1575108,18.163504168
08107,Andersa - Wolna,53.157523324,18.163451845
08108,Andersa - Wolna,53.158086291,18.163616396
08109,Andersa - Wolna,53.157686754,18.163394987
08110,Niepodległości,53.15997,18.166315504
08111,Niepodległości,53.159997736,18.166267037
08112,Andersa - Gieryna,53.165605304,18.171322361
08113,Andersa - Gieryna,53.16561158,18.171260839
08116,Łoskoń,53.173265321,18.173605425
08117,Łoskoń,53.173274241,18.173548
08126,Przylesie - Pętla,53.146896,18.12426
08127,Niepodległości - Pętla - Peron 1,53.160818334,18.169553729
08129,Niepodległości - Pętla,53.160865396,18.169602002
08130,Łoskoń Zajezdnia,53.17574,18.172777
08131,Romanowskiej - Akademicka,53.145463259,18.11700931
08135,Wyzwolenia - Geodetów,53.173879828,18.164132147
08136,Geodetów - Wyzwolenia,53.174016707,18.164891604
08137,Geodetów - Pienińska,53.173781282,18.169609847
08138,Łoskoń,53.173566,18.17197
08139,Orląt Lwowskich - Pelplińska,53.163634802,18.163034252
08140,Orląt Lwowskich - Pelplińska,53.163765,18.163065
08141,Wyzwolenia - Brzegowa,53.181577175,18.170681926
08142,Wyzwolenia - Geodetów,53.174451335,18.164346181
08143,Matki Teresy z Kalkuty - Romanowskiej,53.145680934,18.109057792
08144,Matki Teresy z Kalkuty - Romanowskiej,53.147135072,18.109148807
08145,Matki Teresy z Kalkuty - Rydygiera,53.151506914,18.109572875
08146,Matki Teresy z Kalkuty - Rydygiera,53.152562797,18.110232188
08147,Jasiniecka - Pod Skarpą,53.157666099,18.09830769
08148,Trybowskiego - Jasiniecka,53.155270238,18.098199415
08149,Trybowskiego - Majtkowskiego,53.154674862,18.102956647
08150,Trybowskiego - Matki Teresy z Kalkuty,53.153813077,18.109306888
08151,Trybowskiego - Matki Teresy z Kalkuty,53.153988456,18.10871776
08152,Trybowskiego - Majtkowskiego,53.154619279,18.10420951
08153,Jasiniecka - Trybowskiego,53.155733691,18.097903585
08154,Jasiniecka - Pod Skarpą,53.157485732,18.09843701
08155,Eskulapa,53.156079,18.110451
08156,Pelplińska - Targowisko,53.158951281,18.156373079
08157,Pelplińska - Targowisko,53.159189005,18.156619584
08158,Wyzwolenia - Brzegowa,53.181795335,18.170886533
08159,Pod Skarpą - Przemysła II,53.160419244,18.091865614
08160,Pod Skarpą - Przemysła II,53.160294296,18.09193315
08161,Zamczysko - Pętla,53.160154,18.079438
08162,Zamczysko,53.160216,18.079537
08163,Zamczysko,53.160275344,18.079532348
08164,Twardzickiego - Bołtucia,53.1528326,18.1351183
08165,Twardzickiego - Bołtucia,53.1528225,18.1340934
09001,Plac Poznański,53.122223,17.9895
09002,Plac Poznański,53.121582,17.988277
09003,Plac Poznański,53.122749,17.98675
09004,Plac Poznański,53.121480615,17.985684691
09005,Szubińska - Piękna,53.119195493,17.977570505
09006,Szubińska - Piękna,53.119489436,17.979676697
09007,Piękna - Szubińska,53.118645967,17.979259686
09008,Szubińska - Gnieźnieńska,53.117558,17.971443
09009,Szubińska - Gnieźnieńska,53.117838194,17.973856425
09010,Szubińska - Żwirki i Wigury,53.116262496,17.966826206
09011,Szubińska - Żwirki i Wigury,53.115733333,17.966411111
09012,Błonie,53.114866069,17.960435912
09013,Błonie,53.11485586,17.96100901
09014,Błonie,53.114771354,17.960706633
09015,Błonie,53.114713503,17.960885224
09016,Błonie,53.114796307,17.961183349
09018,Błonie,53.114651313,17.961078024
09019,Błonie,53.114567667,17.960780337
09022,Władysława IV - Stawowa,53.120477778,17.963419444
09023,Władysława IV - Stawowa,53.120302778,17.963280556
09024,Władysława IV - Czerwonego Krzyża,53.123625,17.960852778
09025,Władysława IV - Czerwonego Krzyża,53.123527778,17.960836111
09027,Barwna,53.12475,17.963663889
09028,Nowy Rynek,53.120369444,17.997513889
09029,Nowy Rynek,53.120056,17.997944
09030,Stroma - Kossaka,53.114834695,17.987129048
09031,Stroma - Kossaka,53.115633835,17.986637392
09034,Solskiego - Kossaka,53.113111883,17.984139167
09035,Solskiego - Kossaka,53.113050043,17.983903972
09036,Solskiego - Bielicka,53.112170832,17.990339021
09037,Solskiego - Bielicka,53.112141,17.992722
09038,Solskiego - Ugory,53.113461787,17.99781636
09039,Solskiego - Ugory,53.114020134,18.000469339
09040,Skorupki - Czackiego,53.110195,17.980639
09041,Skorupki - Czackiego,53.110889,17.98175
09044,Inowrocławska - Skorupki,53.107730556,17.979222222
09045,Inowrocławska - Skorupki,53.107863889,17.977705556
09046,Skorupki,53.108239802,17.976744821
09047,Skorupki,53.108371886,17.977487512
09048,Inowrocławska - Zajezdnia,53.107537932,17.98458757
09049,Inowrocławska - Zajezdnia,53.107618729,17.983035978
09050,Brzozowa - Bielicka,53.108595285,17.99118993
09051,Brzozowa - Bielicka,53.109365639,17.992270307
09052,Brzozowa - Jesionowa,53.109085208,18.002537846
09053,Brzozowa - Jesionowa,53.108934603,18.004852957
09054,Nowy Rynek,53.120450588,17.997141575
09055,Bielicka-Solskiego,53.112902943,17.99145692
09056,Szubińska - Żwirki i Wigury,53.116155556,17.966447222
09057,Schulza - Stawowa,53.116958103,17.956506344
09058,Schulza - Stawowa,53.116902313,17.956449021
09059,Stawowa - Władysława IV,53.120455004,17.965736168
09060,Stawowa - Władysława IV,53.120231087,17.964639278
09061,Wysoka - Koszarowa,53.122321773,17.975138821
09062,Połtyna - Szubińska,53.121597,17.976529
09063,Stawowa - XVI Pułku Ułanów Wielkopolskich,53.122044,17.970636
09064,Ugory - Solskiego,53.114711748,17.998504673
09065,Ugory - Nowodworska,53.117217901,17.994612714
09066,Ugory - Nowodworska,53.117391268,17.994204859
09067,Skorupki - Orla,53.117338505,17.990876464
09068,Skorupki - Orla,53.117367704,17.991063186
09069,Stroma - Orla,53.117409646,17.985326076
09070,Stroma - Orla,53.116700625,17.985754985
09071,Skorupki - Jordanowska,53.11563597,17.989012306
09072,Skorupki - Jordanowska,53.115947971,17.989240702
09073,Schulza - Szubińska,53.115093681,17.958888702
09074,Dworzec Błonie,53.119024669,17.953376234
09075,Schulza - Szubińska,53.115069316,17.959042219
09076,Plac Poznański,53.12070835,17.986249186
09077,Grudziądzka - Urząd Miasta,53.12123,17.992324
10001,Zbożowy Rynek,53.119977252,18.002788963
10002,Zbożowy Rynek,53.119763507,18.003009264
10005,Rondo Inowrocławskie,53.10898959,18.008724359
10006,Rondo Inowrocławskie,53.107330108,18.007911414
10008,Jana Pawła II - Ziemska,53.103638,18.007999
10009,Jana Pawła II - Ziemska,53.104252,18.008307
10010,Jana Pawła II - Wąbrzeska,53.097273392,18.008666737
10011,Jana Pawła II - Wąbrzeska,53.094985685,18.008776728
10012,Port Lotniczy,53.093945,17.998138
10013,Rondo Kujawskie,53.112210436,18.008452872
10014,Rondo Kujawskie,53.113588739,18.007392723
10015,Rondo Kujawskie,53.114628045,18.006324659
10016,Rondo Kujawskie,53.115288448,18.007835994
