stop_id,stop_code,stop_name,stop_lat,stop_lon
49701,01,Kolankowskiego,53.029373,18.693768
37901,01,Kusocińskiego,53.031124,18.70206
49901,01,Słupska,53.0321231734953,18.7070882320404
38101,01,Odległa,53.035566,18.722775
99001,01,Lubicz Dolny - Lipowa,53.031859,18.73882
99003,03,Lubicz Dolny - Kolejowa,53.031455,18.744744
99004,04,Lubicz Dolny - Urząd Gminy,53.030467,18.752563
99005,05,Lubicz Dolny - DK10,53.0308263080717,18.7595307826996
99007,07,Lubicz Górny - Bankowa,53.0255644002378,18.77044117097
99009,09,Lubicz Górny - Osiedle,53.0239687258649,18.7653136253357
47701,01,Mazowiecka - Pętla,53.0453984769705,18.625869601965
03102,02,Mazowiecka,53.0426805294979,18.6261177062988
03002,02,Fort IV,53.0395132715787,18.6325281858444
12402,02,Kociewska,53.0423580087828,18.6366319656372
12502,02,Kanałowa,53.036777,18.636499
02703,03,Dębowa Góra,53.0345917877707,18.6296086013317
55802,02,Towarowa,53.0328893380999,18.626874089241
56202,02,Zaułek Dworcowy,53.02887,18.62372
54201,01,Młyn Wiedzy,53.0251520632951,18.6278101801872
30504,04,Ślaskiego,53.0233895482014,18.6760041117668
10803,03,Wyszyńskiego,53.0228394028855,18.6834874749184
11003,03,Ligi Polskiej,53.022751,18.690547
11503,03,Kosynierów Kościuszkowskich,53.024119,18.69593
11401,01,Olimpijska P&R,53.0263333517529,18.7021241337061
58903,03,Szosa Okrężna,53.0195851740596,18.5657800734043
58704,04,Aula UMK,53.0179636149227,18.5696055740118
58504,04,Akademiki,53.0175215076301,18.5742484778166
58304,04,Od Nowa,53.0182060459219,18.5786506533623
59104,04,Fałata,53.016481,18.580257
00501,01,Sztuki Piękne,53.013829,18.581098
09303,03,Kraszewskiego,53.0141071250136,18.5919517278671
58003,03,Osiedle Młodych,53.0138328008859,18.5972195863724
33101,01,Wały Gen. Sikorskiego,53.012537,18.602588
71701,01,Heweliusza,53.0546443427309,18.5978499054909
71503,03,Strobanda,53.0538688916189,18.6031472682953
71303,03,Grasera,53.0510652211683,18.6039733886719
71103,03,Hubego,53.0470899519479,18.6036756634712
70903,03,Freytaga,53.0440383152456,18.6014440655708
70705,05,Wiśniowieckiego,53.0415460521988,18.5995195806026
70505,05,Elektryczna,53.0392520107917,18.5996925830841
70307,07,Koniuchy,53.0336716184409,18.5999621450901
46201,01,Długa,53.0317263755288,18.5959079861641
70105,05,Żwirki i Wigury,53.0285514570797,18.5908473283052
69905,05,Wybickiego,53.0253545260927,18.5915748775005
69703,03,Bema,53.0216180874756,18.5958757996559
69503,03,Targowisko,53.0181725655156,18.5999165475369
28301,01,Aleja Solidarności,53.0134196977326,18.6030252277851
02202,02,Ogród Zoobotaniczny,53.009469199115,18.5910773277283
02002,02,Konopnickiej,53.0099581897544,18.5850155353546
26301,01,Mickiewicza,53.011245999979,18.5802036523819
05103,03,Zajezdnia Tramwajowa,53.0131631199552,18.5802492499352
01303,03,Reja,53.0137069339377,18.5706925392151
01201,01,Osiedle Zieleniec,53.0136698192547,18.5661140084267
01001,01,Plac Skalskiego,53.0138255393411,18.5612605512142
27101,01,Szosa Bydgoska,53.0150188367916,18.55608522892
26900,00,Motoarena,53.0152213471473,18.5492630302906
60201,01,Barbarka,53.0542,18.541617
68202,02,Przysiecka,53.058713,18.546752
59902,02,Osiedle Leśne - Polana,53.057907,18.560415
29802,02,Wrzosy I,53.049764,18.573644
29702,02,Zagonowa,53.046845,18.576643
26501,01,Lniana,53.0476534934545,18.585986495018
02401,01,Chabrowa,53.044705904431,18.5887344181538
29502,02,Lisia,53.0418258443275,18.5803323984146
29302,02,Św. Antoniego,53.039353,18.582222
29102,02,Bartkiewiczówny,53.032777,18.587348
48503,03,Żwirki i Wigury,53.0288486745269,18.5903638601303
13301,01,Lelewela,53.024137,18.601512
13101,01,Dekerta,53.020893,18.601907
13001,01,Legionów,53.017537,18.603698
32909,09,Dworzec Autobusowy,53.0153633458736,18.6057657748461
35401,01,Dworzec Wschodni,53.0239219402142,18.6345505714417
35601,01,Plac Daszyńskiego II,53.02207,18.645982
15303,03,Plac Daszyńskiego,53.0213179967599,18.649930357933
15601,01,Rydygiera,53.022866,18.660015
16301,01,Jamontta,53.024716,18.670234
12605,05,Ligi Polskiej,53.0236702648089,18.6890396475792
12701,01,Witosa,53.025815,18.687974
12901,01,Kolankowskiego,53.0285752506821,18.6920115351677
09903,03,Dworzec Główny,53.001094,18.614714
28402,02,Targowisko,53.0182798640754,18.5999675095081
18502,02,Odrodzenia,53.0151003251366,18.601465523243
57902,02,Osiedle Młodych,53.0138683017536,18.5971793532372
09404,04,Kraszewskiego,53.0142200815006,18.5909003019333
00702,02,Sztuki Piękne,53.0138715291037,18.5810860991478
59203,03,Fałata,53.015839,18.580401
58203,03,Od Nowa,53.0182237945605,18.5785903036594
58403,03,Akademiki,53.0175570054632,18.5741686820984
58603,03,Aula UMK,53.0180116171755,18.5695995390415
58804,04,Szosa Okrężna,53.019637208157,18.5657431930304
59000,00,Uniwersytet,53.022352,18.566002
22902,02,Dębowa Góra,53.035887733534,18.6289930343628
22602,02,Batorego,53.037237,18.62125
07303,03,Polna,53.037419,18.612498
42201,01,Wielki Rów,53.0333974186996,18.6114406585693
07201,01,Kozacka,53.030587,18.610488
64101,01,Sczanieckiego,53.026755,18.610926
07001,01,Kościuszki,53.024514,18.611238
33701,01,Sąd Rejonowy,53.0194625508221,18.6131304502487
18303,03,Odrodzenia,53.015121,18.600966
00803,03,Sztuki Piękne,53.013942,18.578943
25501,01,Reja,53.0154726684384,18.5715615749359
08601,01,Świętopełka,53.0235637863107,18.6186718940735
03708,08,Wschodnia,53.029456,18.641508
04003,03,Tofama,53.0349361405691,18.6537230014801
10503,03,Przychodnia,53.036295783067,18.6579769849777
04708,08,Elana A,53.0369401063837,18.6626105010509
04903,03,Elana B,53.0369360743528,18.6677241325378
05501,01,Bukowa,53.036883,18.675832
06201,01,Rubinkowo P&R,53.0272823115021,18.6792777478695
54103,03,Olimpijska P&R,53.027388,18.703394
99040,40,Lubicz Dolny - Tęczowa,53.0339216225678,18.7625281512737
99038,38,Jedwabno - Widokowa,53.0438480343091,18.7660270929337
99938,38,Jedwabno,53.0512018620099,18.7689875811338
99036,36,Młyniec I - Żwirownia,53.0577766362652,18.7900154292583
99034,34,Młyniec I,53.0674912623809,18.8063728809357
99032,32,Młyniec II,53.0653799238798,18.8171848654747
99030,30,Młyniec II - Dolina Drwęcy,53.0571463268397,18.8043451309204
99028,28,Młyniec II - Nad Doliną,53.0503461365618,18.7948179244995
99026,26,Krobia - Radosna,53.0399777312909,18.786261677742
83402,02,Krobia,53.0364663401761,18.7857922911644
99021,21,Mierzynek - Leśna,53.0388843077428,18.8022208213806
99023,23,Mierzynek,53.0407824604052,18.8138374686241
99176,76,Szembekowo,53.0500728490189,18.8363103568554
